# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
parser.yaml.time.ns,1761291968453000000,1761291992987000000,1888957
lexer.JSRegexp.time.ns,1761291968453000000,1761291992987000000,2297165
DiskQueryRelay.tasksRequested,1761291968453000000,1761291992987000000,8770
parser.textmate.size.bytes,1761291968453000000,1761291992987000000,1290
parser.JSON.size.bytes,1761291968453000000,1761291992987000000,746971
parser.RELAX-NG.time.ns,1761291968453000000,1761291992987000000,738917
parser.HTML.time.ns,1761291968453000000,1761291992987000000,68644456
parser.JSRegexp.time.ns,1761291968453000000,1761291992987000000,1691334
lexer.Shell.Script.time.ns,1761291968453000000,1761291992987000000,7740917
workspaceModel.moduleBridge.update.option.ms,1761291968453000000,1761291992987000000,0
workspaceModel.global.apply.state.to.project.ms,1761291968453000000,1761291992987000000,24
workspaceModel.global.updates.ms,1761291968453000000,1761291992987000000,3
jps.module.iml.entities.serializer.save.entities.ms,1761291968453000000,1761291992987000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1761291968453000000,1761291992987000000,7
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1761291968453000000,1761291992987000000,1
workspaceModel.mutableEntityStorage.referrers.ms,1761291968453000000,1761291992987000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1761291968453000000,1761291992987000000,0
workspaceModel.save.cache.to.file.ms,1761291968453000000,1761291992987000000,105
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1761291968453000000,1761291992987000000,0
jps.facet.change.listener.init.bridge.ms,1761291968453000000,1761291992987000000,1
jps.save.changed.project.entities.ms,1761291968453000000,1761291992987000000,2
workspaceModel.orphan.listener.update.ms,1761291968453000000,1761291992987000000,1
workspaceModel.moduleManagerBridge.create.module.instance.ms,1761291968453000000,1761291992987000000,0
jps.storage.jps.conf.reader.load.component.ms,1761291968453000000,1761291992987000000,3
workspaceModel.moduleBridge.facet.initialization.ms,1761291968453000000,1761291992987000000,12
workspaceModel.moduleManagerBridge.load.all.modules.ms,1761291968453000000,1761291992987000000,18
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1761291968453000000,1761291992987000000,0
workspaceModel.mutableEntityStorage.entities.ms,1761291968453000000,1761291992987000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1761291968453000000,1761291992987000000,7
jps.facet.change.listener.before.change.events.ms,1761291968453000000,1761291992987000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1761291968453000000,1761291992987000000,0
jps.module.iml.entities.serializer.load.entities.ms,1761291968453000000,1761291992987000000,22
jps.reload.project.entities.ms,1761291968453000000,1761291992987000000,0
jps.app.storage.content.reader.load.component.ms,1761291968453000000,1761291992987000000,0
jps.project.serializers.save.ms,1761291968453000000,1761291992987000000,1
jps.facet.change.listener.process.change.events.ms,1761291968453000000,1761291992987000000,0
jps.library.entities.serializer.load.entities.ms,1761291968453000000,1761291992987000000,0
jps.library.entities.serializer.save.entities.ms,1761291968453000000,1761291992987000000,0
jps.global.initialize.library.bridges.ms,1761291968453000000,1761291992987000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1761291968453000000,1761291992987000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1761291968453000000,1761291992987000000,1
workspaceModel.moduleManagerBridge.get.modules.ms,1761291968453000000,1761291992987000000,1
workspaceModel.global.apply.state.to.project.builder.ms,1761291968453000000,1761291992987000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1761291968453000000,1761291992987000000,0
jps.global.get.library.ms,1761291968453000000,1761291992987000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1761291968453000000,1761291992987000000,1
jps.load.project.to.empty.storage.ms,1761291968453000000,1761291992987000000,42
workspaceModel.global.updates.count,1761291968453000000,1761291992987000000,1
workspaceModel.sync.entities.ms,1761291968453000000,1761291992987000000,0
jps.global.get.library.by.name.ms,1761291968453000000,1761291992987000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1761291968453000000,1761291992987000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1761291968453000000,1761291992987000000,0
jps.global.initialize.library.bridges.after.loading.ms,1761291968453000000,1761291992987000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1761291968453000000,1761291992987000000,116
workspaceModel.mutableEntityStorage.add.entity.ms,1761291968453000000,1761291992987000000,15
workspaceModel.mutableEntityStorage.entities.by.source.ms,1761291968453000000,1761291992987000000,1
workspaceModel.load.cache.metadata.from.file.ms,1761291968453000000,1761291992987000000,11
workspaceModel.moduleManagerBridge.build.module.graph.ms,1761291968453000000,1761291992987000000,2
jps.app.storage.content.writer.save.component.ms,1761291968453000000,1761291992987000000,1
jps.artifact.entities.serializer.save.entities.ms,1761291968453000000,1761291992987000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1761291968453000000,1761291992987000000,0
jps.apply.loaded.storage.ms,1761291968453000000,1761291992987000000,11
workspaceModel.mutableEntityStorage.to.snapshot.ms,1761291968453000000,1761291992987000000,2
workspaceModel.mutableEntityStorage.put.entity.ms,1761291968453000000,1761291992987000000,6
workspaceModel.do.save.caches.ms,1761291968453000000,1761291992987000000,110
jps.project.serializers.load.ms,1761291968453000000,1761291992987000000,40
workspaceModel.mutableEntityStorage.remove.entity.ms,1761291968453000000,1761291992987000000,0
jps.global.handle.changed.events.ms,1761291968453000000,1761291992987000000,0
jps.global.handle.before.change.events.ms,1761291968453000000,1761291992987000000,0
jps.save.global.entities.ms,1761291968453000000,1761291992987000000,5
workspaceModel.moduleBridge.before.changed.ms,1761291968453000000,1761291992987000000,0
jps.global.get.libraries.ms,1761291968453000000,1761291992987000000,1
jps.artifact.entities.serializer.load.entities.ms,1761291968453000000,1761291992987000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1761291968453000000,1761291992987000000,55
workspaceModel.mutableEntityStorage.resolve.ms,1761291968453000000,1761291992987000000,0
workspaceModel.mutableEntityStorage.instances.count,1761291968453000000,1761291992987000000,28
jps.load.initial.state.ms,1761291968453000000,1761291992987000000,8
workspaceModel.load.cache.from.file.ms,1761291968453000000,1761291992987000000,127
workspaceModel.moduleManagerBridge.load.module.ms,1761291968453000000,1761291992987000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1761291968453000000,1761291992987000000,0
JVM.usedNativeBytes,1761291968453000000,1761291992987000000,407106472
JVM.totalBytesAllocated,1761291968453000000,1761291992987000000,5434681975
JVM.GC.collectionTimesMs,1761291968453000000,1761291992987000000,516
JVM.threadCount,1761291968453000000,1761291992987000000,147
MEM.fileMappingsRamBytes,1761291968453000000,1761291992987000000,492679168
JVM.usedHeapBytes,1761291968453000000,1761291992987000000,594805824
MEM.ramMinusFileMappingsBytes,1761291968453000000,1761291992987000000,2464161792
JVM.maxThreadCount,1761291968453000000,1761291992987000000,155
OS.loadAverage,1761291968453000000,1761291992987000000,2.95166015625
JVM.totalTimeAtSafepointsMs,1761291968453000000,1761291992987000000,713
JVM.newThreadsCount,1761291968453000000,1761291992987000000,181
MEM.ramPlusSwapMinusFileMappingsBytes,1761291968453000000,1761291992987000000,2464161792
JVM.totalCpuTimeMs,1761291968453000000,1761291992987000000,98630
JVM.totalTimeToSafepointsMs,1761291968453000000,1761291992987000000,455
