# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.global.get.library.by.name.ms,1761290948214000000,1761290972677000000,0
workspaceModel.mutableEntityStorage.entities.ms,1761290948214000000,1761290972677000000,0
jps.storage.jps.conf.reader.load.component.ms,1761290948214000000,1761290972677000000,4
workspaceModel.mutableEntityStorage.replace.by.source.ms,1761290948214000000,1761290972677000000,8
workspaceModel.mutableEntityStorage.add.entity.ms,1761290948214000000,1761290972677000000,12
workspaceModel.mutableEntityStorage.referrers.ms,1761290948214000000,1761290972677000000,0
jps.app.storage.content.writer.save.component.ms,1761290948214000000,1761290972677000000,2
jps.app.storage.content.reader.load.component.ms,1761290948214000000,1761290972677000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1761290948214000000,1761290972677000000,0
workspaceModel.save.cache.to.file.ms,1761290948214000000,1761290972677000000,103
workspaceModel.delayed.project.synchronizer.sync.ms,1761290948214000000,1761290972677000000,51
workspaceModel.mutableEntityStorage.has.same.entities.ms,1761290948214000000,1761290972677000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1761290948214000000,1761290972677000000,5
jps.global.get.library.ms,1761290948214000000,1761290972677000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1761290948214000000,1761290972677000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1761290948214000000,1761290972677000000,5
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1761290948214000000,1761290972677000000,0
jps.global.get.libraries.ms,1761290948214000000,1761290972677000000,0
jps.global.initialize.library.bridges.after.loading.ms,1761290948214000000,1761290972677000000,0
workspaceModel.moduleBridge.before.changed.ms,1761290948214000000,1761290972677000000,0
workspaceModel.global.apply.state.to.project.ms,1761290948214000000,1761290972677000000,22
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1761290948214000000,1761290972677000000,0
jps.module.iml.entities.serializer.save.entities.ms,1761290948214000000,1761290972677000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1761290948214000000,1761290972677000000,0
jps.global.handle.changed.events.ms,1761290948214000000,1761290972677000000,0
jps.facet.change.listener.process.change.events.ms,1761290948214000000,1761290972677000000,0
FilePageCache.pageLoads,1761290948214000000,1761290972677000000,437
FilePageCache.totalPageDisposalsUs,1761290948214000000,1761290972677000000,1500
FilePageCache.pageLoadsAboveSizeThreshold,1761290948214000000,1761290972677000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1761290948214000000,1761290972677000000,41943040
FilePageCache.pageHits,1761290948214000000,1761290972677000000,0
DirectByteBufferAllocator.reclaimed,1761290948214000000,1761290972677000000,43
FilePageCache.capacityInBytes,1761290948214000000,1761290972677000000,629145600
StorageLockContext.competingThreads.90P,1761290948214000000,1761290972677000000,0
FilePageCache.totalPageLoadsUs,1761290948214000000,1761290972677000000,457635
FilePageCache.disposedBuffers,1761290948214000000,1761290972677000000,437
FilePageCache.maxCacheSizeInBytes,1761290948214000000,1761290972677000000,455081984
FilePageCache.uncachedFileAccess,1761290948214000000,1761290972677000000,387
DirectByteBufferAllocator.misses,1761290948214000000,1761290972677000000,434
StorageLockContext.competingThreads.max,1761290948214000000,1761290972677000000,6
FilePageCache.maxRegisteredFiles,1761290948214000000,1761290972677000000,945
FileChannelInterruptsRetryer.totalRetriedAttempts,1761290948214000000,1761290972677000000,0
StorageLockContext.competingThreads.avg,1761290948214000000,1761290972677000000,0.14893617021276595
DirectByteBufferAllocator.hits,1761290948214000000,1761290972677000000,3
DirectByteBufferAllocator.disposed,1761290948214000000,1761290972677000000,394
FilePageCache.pageFastCacheHits,1761290948214000000,1761290972677000000,59210
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1761290948214000000,1761290972677000000,41943040
JVM.totalDirectByteBuffersBytes,1761290948214000000,1761290972677000000,48716472
JVM.usedHeapBytes,1761290948214000000,1761290972677000000,481968224
JVM.newThreadsCount,1761290948214000000,1761290972677000000,184
JVM.committedHeapBytes,1761290948214000000,1761290972677000000,1015021568
JVM.maxThreadCount,1761290948214000000,1761290972677000000,154
JVM.GC.collectionTimesMs,1761290948214000000,1761290972677000000,476
JVM.GC.collections,1761290948214000000,1761290972677000000,59
MEM.ramBytes,1761290948214000000,1761290972677000000,2632278016
JVM.threadCount,1761290948214000000,1761290972677000000,131
JVM.maxHeapBytes,1761290948214000000,1761290972677000000,5754585088
JVM.totalTimeToSafepointsMs,1761290948214000000,1761290972677000000,372
MEM.fileMappingsRamBytes,1761290948214000000,1761290972677000000,496177152
JVM.totalTimeAtSafepointsMs,1761290948214000000,1761290972677000000,691
JVM.totalCpuTimeMs,1761290948214000000,1761290972677000000,92870
JVM.usedNativeBytes,1761290948214000000,1761290972677000000,412043488
MEM.ramMinusFileMappingsBytes,1761290948214000000,1761290972677000000,2136100864
JVM.totalSafepointCount,1761290948214000000,1761290972677000000,505
JVM.totalBytesAllocated,1761290948214000000,1761290972677000000,5468373648
OS.loadAverage,1761290948214000000,1761290972677000000,3.7265625
MEM.ramPlusSwapMinusFileMappingsBytes,1761290948214000000,1761290972677000000,2136100864
cacheStateStorage.set.duration,1761290948214000000,1761290972677000000,54
